index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va,monster_gender,monster_gender2,monster_gender3,monster_gender4,monster_gender5,monster_gender6,monster_gender7,monster_gender8,monster_gender9,monster_gender10,monster_gender11,monster_gender12,monster_gender13,monster_gender14,monster_gender15,monster_gender16,monster_gender17,monster_gender18,monster_gender19,monster_type,monster_type2,monster_type3,monster_type4,monster_type5,monster_type6,monster_type7,monster_type8,monster_type9,monster_type10,monster_type11,monster_type12,monster_type13,monster_type14,monster_type15,monster_type16,monster_type17,monster_type18,monster_type19
370,What's New Scooby-Doo?,The WB,2,Large Dragon at Large,7.5,94.0,24/03/2004,21,TV Series,Glasburgh Dragon,Dragon,Dragon,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Rural,Scotland,5,False,True,Jamison Steven Ripley,Male,1,Treasure,you meddling medieval kids,,False,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Mythical,,,,,,,,,,,,,,,,,,
371,What's New Scooby-Doo?,The WB,2,Uncle Scooby and Antarctica,7.4,99.0,25/03/2004,21,TV Series,Fish Creature,Humanoid,Fish,False,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,Snow,Antarctica,5,False,False,Monroe Hopper,Male,1,Preservation,,,False,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Animal,,,,,,,,,,,,,,,,,,
372,What's New Scooby-Doo?,The WB,2,"New Mexico, Old Monster",7.2,96.0,26/03/2004,21,TV Series,"Wakumi,Shaman","Giant,Shaman","Bird,Human",False,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,Desert,New Mexico,5,True,True,Henry Thornwald,Male,1,Preservation,,,False,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,Male,,,,,,,,,,,,,,,,,,Animal,Ancient,,,,,,,,,,,,,,,,,
373,Warner Bros. Picture,Warner Bros. Picture,Movie,Scooby-Doo 2: Monsters Unleashed,5.1,50847.0,26/03/2004,93,Movie (Theatrical),"Masked Figure,Pterodactyl Ghost,Black Knight Ghost,Cotton Candy Glob,Tar Monster,Minder 49er,Captain Cutler's Ghost,Zombie,10000 Volt Ghost,Skeleton Men,Skeleton Men","Scientist,Dinosaur,Suit,Candy,Tar,Miner,Suit,Zombie,Electric,Skeleton,Skeleton","Human,Pterodactyl,Human,Cotton Candy,Tar,Human,Human,Human,Human,Human,Human",True,11,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,Urban,United States,5,False,True,"Dr. Jonathan Jacobo,Ned","Male,Male",2,Competition,those meddling punks,dumb dog,False,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,4.0,False,False,False,False,False,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellini,Matthew Lillard,Neil Fanning,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,,,,,,,,,Disguised,Animal,Possessed Object,Possessed Object,Possessed Object,Ancient,Possessed Object,Undead,Ghost,Undead,Undead,,,,,,,,
374,What's New Scooby-Doo?,The WB,2,It's All Greek to Scooby,7.4,91.0,27/03/2004,21,TV Series,Centaur,Beast,Centaur,False,1,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,Rural,Greece,4,False,True,Susie Smythe,Female,1,Treasure,you meddling kids,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Mythical,,,,,,,,,,,,,,,,,,
375,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and the Loch Ness Monster,6.7,4108.0,24/06/2004,74,Movie,"Loch Ness Monster,Loch Ness Monster","Loch Ness Monster,Loch Ness Monster","Dinosaur,Dinosaur",False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,Rural,Scotland,8,False,False,"Prof. Fiona Pembrooke,Colin Haggard,Angus Haggard","Female,Male,Male",3,Competition,you meddling kids,,False,1 box,1.0,2.0,0.0,4.0,6.0,0.0,0.0,13.0,1.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Female,Female,,,,,,,,,,,,,,,,,,Mythical,Mythical,,,,,,,,,,,,,,,,,
376,What's New Scooby-Doo?,The WB,3,Fright House of a Lighthouse,8.0,128.0,29/01/2005,21,TV Series,"Creepy Keeper,Skeleton Crew","Lighthouse Keeper,Skeleton","Human,Human",False,2,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Rural,Wisconsin,3,False,True,"Crusty McPeet,Verona Dempsey","Male,Female",2,Competition,,,False,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,Male,,,,,,,,,,,,,,,,,,Undead,Undead,,,,,,,,,,,,,,,,,
377,What's New Scooby-Doo?,The WB,3,"Go West, Young Scoob",7.2,102.0,05/02/2005,21,TV Series,"Sheriff,Cold Steel,Other Robot Cowboys","Cowboy,Cowboy,Cowboy","Human,Human,Human",False,3,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,Desert,Arizona,3,False,True,Gibby Norton,Male,1,Competition,,,False,0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,Male,Male,,,,,,,,,,,,,,,,,Mechanical,Mechanical,Mechanical,,,,,,,,,,,,,,,,
378,Warner Home Video,Warner Home Video,Movie,"Aloha, Scooby-Doo!",6.4,3696.0,08/02/2005,73,Movie,"Wiki-Tiki,Tiny Tikis","Hawaiian,Hawaiian","Human,Human",False,2,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Island,Hawaii,7,False,True,"Snookie Waeawa,Manu Tuiama","Female,Male",2,Competition,you meddling mainlanders,,True,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,Male,,,,,,,,,,,,,,,,,,Ancient,Ancient,,,,,,,,,,,,,,,,,
379,What's New Scooby-Doo?,The WB,3,A Scooby-Doo Valentine,7.5,97.0,11/02/2005,21,TV Series,"Clone Fred,Clone Daphnie,Clone Velma,Clone Shaggy,Clone Scooby","Clone,Clone,Clone,Clone,Clone","Human,Human,Human,Human,Human",False,5,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,Urban,United States,5,False,True,J.C. Chasez,Male,1,Competition,you meddling kids,,False,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,Female,Female,Male,Male,,,,,,,,,,,,,,,Mechanical,Mechanical,Mechanical,Mechanical,Mechanical,,,,,,,,,,,,,,
